primary_type,date,value
ARSON,2017-08-27,1
ARSON,2017-08-28,1
ARSON,2017-08-29,1
ARSON,2017-08-30,4
ARSON,2017-08-31,1
ARSON,2017-09-01,1
ARSON,2017-09-03,2
ARSON,2017-09-04,2
ARSON,2017-09-05,1
ARSON,2017-09-07,1
ARSON,2017-09-09,1
ARSON,2017-09-11,3
ARSON,2017-09-13,2
ARSON,2017-09-14,1
ARSON,2017-09-15,1
ARSON,2017-09-17,2
ARSON,2017-09-18,1
ARSON,2017-09-19,2
ARSON,2017-09-20,1
ARSON,2017-09-21,1
ARSON,2017-09-22,4
ARSON,2017-09-23,2
ARSON,2017-09-25,1
ARSON,2017-09-27,1
ARSON,2017-09-29,2
ARSON,2017-09-30,1
ARSON,2017-10-01,2
ARSON,2017-10-03,6
ARSON,2017-10-04,2
ARSON,2017-10-05,1
ARSON,2017-10-06,1
ARSON,2017-10-08,1
ARSON,2017-10-10,3
ARSON,2017-10-12,1
ARSON,2017-10-13,1
ARSON,2017-10-16,2
ARSON,2017-10-17,2
ARSON,2017-10-18,2
ARSON,2017-10-19,3
ARSON,2017-10-20,2
ARSON,2017-10-21,2
ARSON,2017-10-23,1
ARSON,2017-10-28,2
ARSON,2017-10-29,2
ARSON,2017-10-30,3
ARSON,2017-11-01,3
ARSON,2017-11-02,1
ARSON,2017-11-04,1
ARSON,2017-11-06,1
ARSON,2017-11-07,1
ARSON,2017-11-08,2
ARSON,2017-11-11,2
ARSON,2017-11-12,3
ARSON,2017-11-15,2
ARSON,2017-11-20,1
ARSON,2017-11-21,1
ARSON,2017-11-22,4
ARSON,2017-11-23,6
ARSON,2017-11-24,2
ARSON,2017-11-25,3
ARSON,2017-11-28,2
ARSON,2017-11-29,1
ARSON,2017-11-30,2
ARSON,2017-12-03,2
ARSON,2017-12-04,1
ARSON,2017-12-06,1
ARSON,2017-12-07,3
ARSON,2017-12-08,1
ARSON,2017-12-12,2
ARSON,2017-12-13,3
ARSON,2017-12-14,2
ARSON,2017-12-16,1
ARSON,2017-12-17,1
ARSON,2017-12-19,1
ARSON,2017-12-22,1
ARSON,2017-12-29,1
ARSON,2017-12-31,1
ARSON,2018-01-03,1
ARSON,2018-01-04,2
ARSON,2018-01-09,2
ARSON,2018-01-11,1
ARSON,2018-01-19,1
ARSON,2018-02-03,1
ARSON,2018-04-22,1
ARSON,2018-05-30,1
ARSON,2018-07-12,1
ARSON,2018-07-28,1
ARSON,2018-11-11,1
ARSON,2019-07-08,1
ARSON,2019-07-22,1
ARSON,2020-01-05,1
ARSON,2020-04-03,1
ARSON,2020-05-19,1
ARSON,2020-06-19,1
ARSON,2020-06-29,1
ARSON,2020-08-18,2
ARSON,2020-10-07,1
ARSON,2020-10-09,1
ARSON,2020-10-16,1
